2021-08-31 15:52:25,903 INFO: {'Rotation': 0.0000, 'Motors': ('PWR','PWR','PWR','PWR'), 'Status': 'No Data Recieved.'}
2021-08-31 15:53:44,919 INFO: {'Rotation': -66.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:44,987 INFO: {'Rotation': -64.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,038 INFO: {'Rotation': -62.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,106 INFO: {'Rotation': -60.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,171 INFO: {'Rotation': -58.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,221 INFO: {'Rotation': -56.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,289 INFO: {'Rotation': -54.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,356 INFO: {'Rotation': -52.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,421 INFO: {'Rotation': -50.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,471 INFO: {'Rotation': -48.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,538 INFO: {'Rotation': -46.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,605 INFO: {'Rotation': -44.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,671 INFO: {'Rotation': -42.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,721 INFO: {'Rotation': -40.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,790 INFO: {'Rotation': -38.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,840 INFO: {'Rotation': -36.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,906 INFO: {'Rotation': -34.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:45,973 INFO: {'Rotation': -32.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,022 INFO: {'Rotation': -30.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
2021-08-31 15:53:46,090 INFO: {'Rotation': -28.0000, 'Motors': (1.0,-1.0,1.0,-1.0), 'Status': 'Running Test 1...'}
